geoid,dperim,dpperim,darea,dparea
4835,1462,105957,12956,698488
4801,778,10446,32837,698488
4806,935,38472,18826,698498
4814,490,18513,27630,698472
4802,1117,82554,11434,698488
4834,1117,19228,29940,698487
4813,1142,7439,76101,698488
4827,870,16660,34286,698487
4836,865,26218,34165,698488
4803,463,20280,14623,698488
4808,653,43954,19111,698488
4816,300,11744,14089,698488
4821,1502,116176,20978,698488
4820,622,78044,8455,698488
4830,838,47650,14452,698487
4833,1424,83026,13111,698488
4817,809,36661,26198,698487
4828,1004,42623,24435,698488
4805,1073,43211,25589,698488
4811,1601,9223,63926,698488
4823,1531,62269,65914,698488
4812,912,36144,18509,698488
4818,1266,63518,15186,698488
4804,1175,21743,40247,698488
4826,470,24559,14805,698488
4832,958,51878,12488,698488
4831,583,20743,17468,698487
4824,725,49967,13216,698488
4807,649,65262,9870,698488
4822,688,44905,14657,698504
4825,1488,72472,28702,698478
4810,1328,105291,23706,698487
4815,1327,50491,23874,698488
4819,1373,2795,68620,698487
4809,645,53160,9937,698488
4829,969,49943,13890,698488
